Date,Number,Akrotiri_Prec,Larnaka_Prec,Paphos_Prec,Akrotiri_RH,Larnaka_RH,Paphos_RH,Akrotiri_Temp,Larnaka_Temp,Paphos_Temp,Akrotiri_WS,Larnaka_WS,Paphos_WS
20060123,0,2.6,4.5,0.8,71.1,70.1,69.1,14.4,13.6,16.8,20.472,31.584,14.916
20060124,0,1.3,8.1,2.7,64.1,74.1,70.1,17.2,17.2,18.4,14.916,9.36,9.36
20060125,0,12.1,3.1,8.1,87.1,70.1,72.1,12.0,13.5,14.7,11.212,46.4,35.288
20060126,0,2.2,1.1,1.4,47.1,45.1,54.1,13.1,16.2,13.6,27.88,35.288,31.584
20060127,0,0.2,0.1,0.1,42.1,48.1,53.1,12.8,14.9,13.5,22.324,3.804,24.176
20060128,0,0.1,0.2,0.1,40.1,35.1,46.1,14.0,14.2,14.7,20.472,18.62,29.732
20060129,0,0.1,0.1,0.1,46.1,43.1,53.1,14.2,14.3,14.6,13.064,9.36,14.916
20060130,0,0.1,0.1,0.1,43.1,22.1,47.1,14.8,16.2,15.3,7.508,13.064,9.36
20060131,0,0.1,0.1,0.1,45.1,34.1,50.1,14.6,15.5,15.7,9.36,7.508,9.36
20060201,0,0.1,0.1,0.1,52.1,43.1,54.1,13.8,14.7,15.2,38.992,29.732,18.62
20060202,0,0.2,0.3,0.1,55.1,62.1,48.1,17.3,15.9,20.3,38.992,33.436,16.768
20060203,0,0.1,0.1,0.1,55.1,54.1,41.1,17.3,17.0,19.4,18.62,24.176,31.584
20060204,1,0.1,0.3,0.1,46.1,48.1,54.1,15.8,18.5,17.2,26.028,37.14,18.62
20060205,0,0.2,0.1,0.1,75.1,62.1,75.1,15.2,17.1,15.6,7.508,7.508,14.916
20060206,0,2.2,0.2,0.6,56.1,59.1,67.1,16.9,18.4,17.0,16.768,24.176,16.768
20060207,0,6.2,4.2,4.7,70.1,72.1,76.1,17.7,18.1,18.3,14.916,24.176,22.324
20060208,0,14.2,9.1,20.2,59.1,73.1,59.1,11.0,9.2,13.6,29.732,33.436,40.844
20060209,0,6.1,3.2,6.1,45.1,44.1,60.1,13.3,15.2,14.7,37.14,37.14,33.436
20060210,0,0.2,0.1,0.1,65.1,56.1,67.1,15.6,17.5,16.6,5.656,24.176,18.62
20060211,0,3.1,0.3,0.5,60.1,52.1,62.1,16.1,17.1,17.2,16.768,22.324,18.62
20060212,0,0.3,0.1,0.6,68.1,62.1,69.1,16.6,17.6,17.9,20.472,35.288,29.732
20060213,0,0.3,0.3,0.1,44.1,44.1,46.1,13.4,15.4,14.0,24.176,31.584,31.584
20060214,0,0.2,0.1,0.4,53.1,45.1,61.1,10.7,13.4,10.6,22.324,29.732,14.916
20060215,0,2.1,0.5,1.8,34.1,47.1,42.1,10.1,9.6,11.6,37.14,35.288,31.584
20060216,0,0.2,0.2,0.1,36.1,35.1,42.1,10.1,10.9,11.0,27.88,13.064,27.88
20060217,0,0.2,0.1,0.1,48.1,49.1,49.1,13.7,13.1,14.6,11.212,1.952,3.804
20060218,0,0.2,0.1,1.1,61.1,59.1,64.1,16.8,16.3,17.3,5.656,9.36,7.508
20060219,0,0.1,0.1,0.1,56.1,56.1,70.1,17.3,17.0,17.2,31.584,20.472,16.768
20060220,0,0.1,0.1,0.1,47.1,47.1,66.1,18.4,18.5,18.7,26.028,18.62,18.62
20060221,0,0.2,0.1,0.1,47.1,32.1,62.1,19.0,20.4,18.7,14.916,20.472,9.36
20060222,0,0.1,0.1,0.1,61.1,46.1,64.1,17.8,19.9,19.0,9.36,11.212,24.176
20060223,1,0.1,0.1,0.1,42.1,52.1,51.1,19.2,20.2,19.5,16.768,9.36,16.768
20060224,0,0.1,0.1,0.1,51.1,60.1,27.1,19.6,20.0,22.3,22.324,11.212,38.992
20060225,0,0.1,0.1,0.1,63.1,41.1,72.1,16.7,20.1,17.7,35.288,3.804,26.028
20060226,0,0.1,0.1,0.1,56.1,52.1,67.1,18.0,18.7,18.1,7.508,13.064,11.212
20060227,0,0.1,0.2,0.1,55.1,67.1,59.1,17.5,18.1,18.4,13.064,29.732,13.064
20060228,0,0.1,0.1,0.1,63.1,56.1,63.1,17.0,19.0,17.2,18.62,18.62,22.324
20060301,1,0.1,0.1,0.1,66.1,63.1,63.1,17.6,20.2,18.8,31.584,22.324,31.584
20060302,2,0.1,0.1,0.1,49.1,49.1,59.1,17.4,19.3,18.3,26.028,35.288,13.064
20060303,2,0.1,0.1,0.1,63.1,60.1,70.1,17.7,18.5,18.6,13.064,44.548,11.212
20060304,0,0.1,0.3,0.1,51.1,58.1,65.1,18.5,19.7,17.8,13.064,18.62,16.768
20060305,0,0.1,0.3,0.1,47.1,46.1,53.1,16.5,17.9,17.8,27.88,26.028,18.62
20060306,1,0.1,0.5,0.1,53.1,52.1,55.1,17.6,18.4,18.4,9.36,13.064,20.472
20060307,2,0.1,0.1,0.1,70.1,66.1,40.1,18.1,19.9,21.6,27.88,16.768,35.288
20060308,0,2.1,7.1,0.3,70.1,76.1,58.1,16.0,15.1,17.2,24.176,29.732,48.252
20060309,0,6.3,6.1,8.9,47.1,51.1,59.1,13.7,16.2,14.7,40.844,27.88,46.4
20060310,0,0.5,0.1,3.1,41.1,52.1,50.1,13.9,15.6,15.2,29.732,26.028,29.732
20060311,0,0.1,0.1,0.1,53.1,49.1,61.1,15.5,16.4,16.1,7.508,11.212,18.62
20060312,0,0.1,0.1,0.1,61.1,53.1,46.1,18.8,19.7,20.4,29.732,20.472,31.584
20060313,0,0.1,0.3,0.1,53.1,47.1,59.1,17.7,19.8,18.1,16.768,35.288,11.212
20060314,0,0.3,0.1,3.1,56.1,61.1,67.1,18.2,18.6,16.7,29.732,33.436,27.88
20060315,0,3.5,2.1,4.1,53.1,44.1,60.1,16.2,18.8,17.3,37.14,16.768,29.732
20060316,0,0.2,0.5,0.1,51.1,60.1,58.1,16.4,16.2,17.3,26.028,20.472,14.916
20060317,0,0.1,0.5,3.1,51.1,38.1,56.1,15.9,19.3,18.0,27.88,31.584,24.176
20060318,0,0.1,0.1,0.1,49.1,49.1,58.1,15.9,17.9,16.8,27.88,35.288,22.324
20060319,0,1.5,0.7,2.1,69.1,66.1,72.1,18.2,16.3,19.2,5.656,37.14,9.36
20060320,0,0.2,5.0,0.2,53.1,55.1,60.1,17.1,18.5,17.5,16.768,20.472,14.916
20060321,0,0.1,0.2,0.1,58.1,48.1,69.1,19.2,20.2,19.6,9.36,14.916,14.916
20060322,0,0.1,0.1,0.1,59.1,57.1,61.1,18.9,19.9,19.4,13.064,18.62,9.36
20060323,0,0.1,0.3,0.1,60.1,54.1,53.1,19.9,20.3,20.8,20.472,11.212,31.584
20060324,0,0.1,0.5,0.1,65.1,71.1,73.1,18.3,19.2,18.3,20.472,18.62,20.472
20060325,0,0.3,0.1,0.1,59.1,52.1,71.1,17.6,20.2,17.6,35.288,44.548,27.88
20060326,0,0.2,2.1,2.1,53.1,76.1,64.1,17.5,15.7,17.7,31.584,13.064,24.176
20060327,0,0.1,0.3,0.1,55.1,57.1,62.1,17.8,19.0,18.7,14.916,20.472,16.768
20060328,0,0.1,0.1,0.1,56.1,53.1,66.1,18.1,19.6,19.0,20.472,20.472,20.472
20060329,0,0.2,0.1,0.1,78.1,64.1,74.1,16.8,19.7,18.7,27.88,27.88,20.472
20060330,0,0.1,0.2,0.1,59.1,59.1,66.1,18.8,19.7,19.4,18.62,33.436,16.768
20060331,0,0.1,0.2,0.1,62.1,59.1,67.1,18.8,19.7,19.5,18.62,13.064,24.176
20060401,0,0.1,0.5,0.1,31.1,47.1,67.1,22.7,21.9,20.4,16.768,11.212,27.88
20060402,0,0.3,0.5,0.1,61.1,43.1,70.1,20.2,22.6,20.6,11.212,26.028,29.732
20060403,0,0.1,0.1,0.1,62.1,61.1,75.1,19.8,21.2,19.6,27.88,20.472,14.916
20060404,0,4.1,5.3,0.1,56.1,54.1,60.1,16.8,17.2,16.4,20.472,14.916,13.064
20060405,0,0.4,9.5,10.1,68.1,84.1,64.1,15.8,14.1,17.6,24.176,14.916,14.916
20060406,0,1.0,6.3,0.3,67.1,56.1,73.1,18.2,20.2,19.2,24.176,16.768,18.62
20060407,0,0.1,0.2,0.1,62.1,58.1,67.1,18.6,20.3,19.6,20.472,22.324,11.212
20060408,0,0.1,0.1,0.1,72.1,70.1,68.1,17.6,18.9,20.7,26.028,11.212,24.176
20060409,0,0.1,0.3,0.1,66.1,65.1,72.1,19.2,22.0,20.1,26.028,38.992,18.62
20060410,0,0.1,0.2,0.1,57.1,49.1,67.1,19.8,21.5,19.8,20.472,31.584,9.36
20060411,1,0.1,0.1,0.1,64.1,51.1,72.1,19.2,21.8,20.5,22.324,29.732,31.584
20060412,1,0.1,0.3,0.1,65.1,57.1,71.1,18.9,21.0,20.0,16.768,24.176,13.064
20060413,0,0.1,0.2,0.1,34.1,45.1,71.1,22.0,21.8,20.1,9.36,16.768,14.916
20060414,0,0.1,0.1,0.1,48.1,30.1,58.1,23.6,27.2,23.0,11.212,13.064,9.36
20060415,1,0.1,0.1,0.1,57.1,47.1,70.1,18.8,23.0,18.6,42.696,48.252,27.88
20060416,0,0.1,0.1,0.1,39.1,54.1,66.1,19.9,20.4,21.0,16.768,14.916,18.62
20060417,0,0.1,0.1,0.1,65.1,61.1,75.1,21.0,22.3,21.2,13.064,26.028,11.212
20060418,0,0.1,0.3,0.3,58.1,65.1,72.1,21.2,20.5,21.4,11.212,13.064,20.472
20060419,0,0.1,0.3,0.1,61.1,66.1,74.1,21.0,21.2,20.9,13.064,13.064,22.324
20060420,0,0.1,0.1,0.1,52.1,61.1,73.1,23.2,23.2,22.0,13.064,16.768,7.508
20060421,0,0.1,0.4,0.1,68.1,51.1,67.1,19.8,24.5,21.8,33.436,35.288,18.62
20060422,0,0.1,0.1,0.1,58.1,63.1,72.1,21.1,20.7,20.9,13.064,9.36,22.324
20060423,0,0.1,0.1,0.1,68.1,40.1,69.1,19.9,27.6,20.8,48.252,20.472,29.732
20060424,0,3.1,2.1,5.1,53.1,59.1,61.1,20.8,20.5,21.8,5.656,14.916,33.436
20060425,0,0.2,0.1,0.1,48.1,18.1,59.1,21.1,25.1,22.1,20.472,27.88,11.212
20060426,0,0.1,0.1,0.1,29.1,31.1,39.1,20.5,21.0,21.6,13.064,18.62,14.916
20060427,0,0.1,0.1,0.1,49.1,42.1,58.1,20.4,22.0,21.8,14.916,24.176,14.916
20060428,2,0.1,0.1,0.1,64.1,59.1,69.1,19.7,21.4,20.5,16.768,14.916,24.176
20060429,0,0.2,0.1,0.1,57.1,55.1,68.1,22.7,24.6,22.6,16.768,22.324,13.064
20060430,0,0.1,0.1,0.1,64.1,59.1,67.1,19.8,22.8,21.8,37.14,29.732,26.028
20060501,1,0.1,0.1,0.1,59.1,49.1,71.1,20.2,23.5,20.8,14.916,20.472,13.064
20060502,0,0.3,0.2,0.3,61.1,49.1,68.1,20.7,24.7,21.8,31.584,26.028,27.88
20060503,0,0.1,0.1,0.1,55.1,60.1,70.1,21.8,21.5,20.8,18.62,16.768,16.768
20060504,0,0.1,0.1,0.1,57.1,48.1,63.1,20.9,23.1,21.6,13.064,14.916,9.36
20060505,0,0.1,0.1,0.1,50.1,44.1,59.1,19.9,23.3,20.4,26.028,40.844,20.472
20060506,0,0.2,0.2,0.2,52.1,59.1,65.1,20.4,20.3,20.2,3.804,18.62,11.212
20060507,0,0.8,1.2,3.9,45.1,43.1,64.1,23.6,25.3,22.9,20.472,18.62,35.288
20060508,0,0.1,0.1,0.1,64.1,52.1,63.1,21.1,23.1,22.2,20.472,37.14,33.436
20060509,0,0.1,0.1,0.1,47.1,35.1,54.1,20.3,24.5,22.1,38.992,24.176,27.88
20060510,1,0.1,0.1,0.1,45.1,52.1,58.1,22.0,23.7,21.3,9.36,20.472,11.212
20060511,1,0.1,0.1,0.1,58.1,48.1,58.1,21.5,23.8,22.5,13.064,24.176,27.88
20060512,0,0.1,0.1,0.1,38.1,34.1,55.1,23.4,26.3,23.1,18.62,27.88,35.288
20060513,2,0.1,0.1,0.1,24.1,38.1,58.1,25.8,26.9,23.8,27.88,24.176,24.176
20060514,0,0.1,0.1,0.1,49.1,62.1,66.1,23.8,24.6,23.8,9.36,18.62,9.36
20060515,2,0.1,0.1,0.1,54.1,32.1,74.1,24.0,27.2,22.7,16.768,22.324,16.768
20060516,2,0.1,0.1,0.1,58.1,49.1,65.1,21.4,24.1,21.6,27.88,33.436,16.768
20060517,0,0.1,0.2,0.1,57.1,66.1,69.1,23.6,21.4,23.2,18.62,29.732,14.916
20060518,2,0.1,0.1,0.1,69.1,55.1,71.1,21.9,24.3,22.8,20.472,37.14,14.916
20060519,0,0.1,0.1,0.1,57.1,62.1,59.1,22.6,23.0,24.1,14.916,16.768,16.768
20060520,0,0.1,0.1,0.1,61.1,47.1,73.1,23.3,26.4,24.2,27.88,27.88,26.028
20060521,1,0.1,0.1,0.1,59.1,50.1,71.1,23.8,27.1,24.4,33.436,29.732,24.176
20060522,1,0.1,0.1,0.1,53.1,61.1,72.1,24.8,25.5,24.0,13.064,22.324,9.36
20060523,2,0.1,0.1,0.1,61.1,53.1,77.1,24.3,26.3,23.7,13.064,18.62,7.508
20060524,0,0.1,0.3,0.1,46.1,43.1,59.1,27.8,30.4,26.4,13.064,18.62,9.36
20060525,5,0.1,0.1,0.1,23.1,32.1,69.1,31.8,33.9,27.1,20.472,14.916,24.176
20060526,3,0.1,0.1,0.1,50.1,29.1,75.1,27.5,33.8,27.0,22.324,18.62,18.62
20060527,1,0.1,0.1,0.1,51.1,60.1,72.1,25.6,27.7,26.1,20.472,29.732,13.064
20060528,1,0.1,0.2,0.1,63.1,56.1,70.1,24.6,27.2,26.1,14.916,20.472,7.508
20060529,0,0.1,0.3,0.1,53.1,53.1,75.1,27.0,29.1,26.1,13.064,18.62,9.36
20060530,0,0.1,0.1,0.1,32.1,35.1,69.1,29.5,32.3,27.9,18.62,22.324,20.472
20060531,2,0.1,0.1,0.1,58.1,35.1,67.1,24.9,30.2,26.4,33.436,26.028,31.584
20060601,1,0.1,0.1,0.1,62.1,45.1,75.1,26.1,29.6,25.7,26.028,20.472,31.584
20060602,3,0.1,0.2,0.1,61.1,58.1,70.1,28.2,30.2,26.8,11.212,14.916,9.36
20060603,0,0.1,0.3,0.1,46.1,56.1,78.1,29.3,30.5,28.0,11.212,20.472,24.176
20060604,3,0.1,0.3,0.1,44.1,75.1,73.1,30.9,29.3,27.7,7.508,16.768,26.028
20060605,3,0.1,0.2,0.1,25.1,18.1,34.1,35.0,39.3,32.3,14.916,24.176,35.288
20060606,1,0.1,0.1,0.1,45.1,46.1,67.1,26.7,31.9,25.1,33.436,11.212,33.436
20060607,1,0.1,0.1,0.1,62.1,43.1,66.1,23.8,31.0,25.8,42.696,20.472,22.324
20060608,0,0.1,0.1,0.1,60.1,53.1,65.1,23.8,28.4,25.7,44.548,33.436,22.324
20060609,0,0.1,0.1,0.1,46.1,47.1,65.1,24.3,26.7,24.9,31.584,38.992,13.064
20060610,3,0.1,0.1,0.1,44.1,39.1,58.1,24.6,27.8,25.1,22.324,27.88,20.472
20060611,0,0.1,0.1,0.1,51.1,45.1,60.1,24.3,27.3,24.7,38.992,29.732,31.584
20060612,0,0.1,0.1,0.1,37.1,44.1,70.1,26.4,28.0,25.7,22.324,18.62,16.768
20060613,2,0.1,0.1,0.1,44.1,33.1,66.1,26.2,30.5,25.5,27.88,18.62,26.028
20060614,1,0.1,0.1,0.1,60.1,38.1,66.1,23.4,30.0,24.9,38.992,31.584,27.88
20060615,0,0.1,0.1,0.1,53.1,46.1,67.1,25.4,27.5,24.9,27.88,24.176,14.916
20060616,0,0.1,0.1,0.1,58.1,54.1,65.1,25.0,27.8,25.2,26.028,24.176,16.768
20060617,1,0.1,0.1,0.1,40.1,54.1,70.1,27.1,28.3,26.4,7.508,18.62,16.768
20060618,3,0.1,0.1,0.1,29.1,30.1,72.1,30.7,32.6,26.8,9.36,14.916,14.916
20060619,2,0.1,0.1,0.1,40.1,37.1,79.1,30.9,31.8,26.8,13.064,18.62,14.916
20060620,3,0.1,0.1,0.1,44.1,42.1,83.1,28.8,31.8,27.4,24.176,27.88,14.916
20060621,2,0.1,0.1,0.1,64.1,55.1,74.1,27.1,30.7,26.8,27.88,38.992,14.916
20060622,4,0.1,0.1,0.1,57.1,60.1,71.1,27.2,29.4,26.9,20.472,37.14,13.064
20060623,0,0.1,0.1,0.1,65.1,58.1,77.1,27.2,30.2,28.1,18.62,29.732,11.212
20060624,4,0.1,0.1,0.1,66.1,63.1,75.1,26.8,29.3,28.1,13.064,22.324,16.768
20060625,0,0.1,0.3,0.1,62.1,61.1,72.1,27.2,29.6,28.5,13.064,20.472,11.212
20060626,0,0.1,0.1,0.1,66.1,62.1,75.1,28.0,30.0,27.9,22.324,27.88,16.768
20060627,1,0.1,0.2,0.1,64.1,61.1,75.1,27.3,29.4,27.6,24.176,38.992,16.768
20060628,1,0.1,0.1,0.1,68.1,62.1,74.1,27.7,29.8,28.6,20.472,31.584,13.064
20060629,1,0.1,0.3,0.1,66.1,66.1,72.1,27.9,29.1,28.9,16.768,31.584,9.36
20060630,1,0.1,0.1,0.1,69.1,66.1,75.1,28.6,30.1,29.0,20.472,33.436,16.768
20060701,1,0.1,0.1,0.1,62.1,40.1,78.1,30.0,34.1,29.4,18.62,26.028,11.212
20060702,1,0.1,0.3,0.1,80.1,62.1,21.1,29.1,32.8,31.0,18.62,24.176,20.472
20060703,2,0.1,0.6,0.1,73.1,68.1,79.1,29.6,31.2,29.6,31.584,27.88,18.62
20060704,0,0.1,0.2,0.1,63.1,60.1,71.1,28.4,29.9,28.5,27.88,46.4,18.62
20060705,0,0.1,0.1,0.1,58.1,44.1,68.1,26.7,30.7,27.8,26.028,9.36,18.62
20060706,1,0.1,0.2,0.1,56.1,72.1,50.1,28.2,26.2,30.5,9.36,20.472,13.064
20060707,1,0.1,0.7,0.1,42.1,46.1,74.1,29.6,31.1,28.8,18.62,24.176,14.916
20060708,1,0.1,0.1,0.1,67.1,32.1,73.1,29.1,33.9,29.4,27.88,18.62,24.176
20060709,1,0.1,0.1,0.1,59.1,51.1,66.1,27.8,31.8,29.7,26.028,29.732,20.472
20060710,1,0.1,0.1,0.1,52.1,56.1,65.1,28.9,30.3,30.0,24.176,27.88,22.324
20060711,2,0.1,0.1,0.1,64.1,32.1,68.1,28.2,32.8,29.8,27.88,27.88,20.472
20060712,1,0.1,0.1,0.1,52.1,49.1,70.1,29.3,32.8,29.9,33.436,31.584,24.176
20060713,3,0.1,0.1,0.1,66.1,51.1,71.1,27.4,32.7,28.4,35.288,33.436,27.88
20060714,0,0.1,0.1,0.1,63.1,58.1,73.1,26.8,30.3,27.5,29.732,44.548,20.472
20060715,0,0.1,0.1,0.1,66.1,59.1,73.1,28.0,30.1,28.7,20.472,27.88,13.064
20060716,2,0.1,0.1,0.1,66.1,57.1,72.1,28.4,30.9,28.9,14.916,20.472,11.212
20060717,1,0.1,0.3,0.1,70.1,66.1,76.1,29.4,31.1,30.2,24.176,29.732,22.324
20060718,2,0.1,0.4,0.1,62.1,47.1,76.1,29.2,34.0,30.3,26.028,27.88,20.472
20060719,1,0.1,0.1,0.1,70.1,55.1,76.1,28.6,32.7,29.8,27.88,29.732,20.472
20060720,3,0.1,0.1,0.1,71.1,49.1,79.1,28.5,33.2,28.9,20.472,16.768,16.768
20060721,0,0.1,0.1,0.1,69.1,62.1,78.1,28.6,31.5,28.6,24.176,35.288,16.768
20060722,2,0.1,0.1,0.1,62.1,62.1,71.1,29.3,30.8,29.1,24.176,37.14,11.212
20060723,1,0.1,0.1,0.1,67.1,60.1,75.1,29.3,31.7,30.2,22.324,31.584,26.028
20060724,0,0.1,0.1,0.1,67.1,32.1,71.1,28.6,34.4,29.4,29.732,26.028,24.176
20060725,2,0.1,0.1,0.1,66.1,40.1,76.1,29.4,32.9,29.5,18.62,20.472,14.916
20060726,1,0.1,0.2,0.1,73.1,62.1,78.1,29.0,31.8,29.5,20.472,35.288,18.62
20060727,1,0.1,0.4,0.1,67.1,59.1,73.1,29.7,32.5,29.9,35.288,31.584,22.324
20060728,2,0.1,0.1,0.1,72.1,60.1,74.1,27.6,32.2,28.9,33.436,38.992,24.176
20060729,2,0.1,0.1,0.1,76.1,60.1,85.1,28.6,32.6,27.6,29.732,33.436,20.472
20060730,1,0.1,0.3,0.1,53.1,60.1,77.1,31.4,32.0,29.0,14.916,18.62,13.064
20060731,0,0.1,0.1,0.1,67.1,60.1,76.1,28.5,31.0,28.5,22.324,33.436,14.916
20060801,2,0.1,0.1,0.1,73.1,64.1,76.1,27.5,30.5,28.9,20.472,38.992,16.768
20060802,0,0.1,0.1,0.1,66.1,44.1,74.1,29.0,33.1,29.8,22.324,18.62,22.324
20060803,0,0.1,1.0,0.1,54.1,35.1,71.1,28.7,34.5,30.0,29.732,29.732,24.176
20060804,0,0.1,0.1,0.1,62.1,38.1,72.1,30.2,34.0,30.2,26.028,27.88,24.176
20060805,0,0.1,0.1,0.1,60.1,47.1,75.1,29.6,34.0,29.9,27.88,29.732,27.88
20060806,2,0.1,0.1,0.1,68.1,48.1,80.1,29.2,32.9,28.8,29.732,35.288,18.62
20060807,0,0.1,0.3,0.1,73.1,66.1,74.1,28.8,32.1,30.1,38.992,26.028,26.028
20060808,0,0.1,0.1,0.1,65.1,50.1,67.1,27.5,32.0,28.8,35.288,37.14,20.472
20060809,0,0.1,0.1,0.1,64.1,55.1,73.1,27.4,30.7,28.0,31.584,37.14,18.62
20060810,0,0.1,0.1,0.1,65.1,52.1,71.1,28.6,31.9,29.0,33.436,31.584,26.028
20060811,2,0.1,0.3,0.1,67.1,56.1,73.1,29.5,32.6,29.4,35.288,27.88,22.324
20060812,1,0.1,0.1,0.1,66.1,54.1,71.1,27.2,30.9,29.0,31.584,16.768,26.028
20060813,0,0.1,0.1,0.1,63.1,50.1,75.1,29.0,31.7,28.8,22.324,26.028,13.064
20060814,0,0.1,0.1,0.1,67.1,59.1,73.1,28.3,30.5,29.5,14.916,26.028,9.36
20060815,0,0.1,0.1,0.1,68.1,62.1,77.1,29.1,30.8,29.0,16.768,27.88,9.36
20060816,0,0.1,0.1,0.1,71.1,62.1,75.1,28.9,31.3,30.0,14.916,22.324,11.212
20060817,0,0.1,0.1,0.1,64.1,62.1,71.1,29.4,30.7,29.9,13.064,16.768,11.212
20060818,0,0.1,0.1,0.1,61.1,60.1,83.1,30.6,31.8,29.5,16.768,22.324,18.62
20060819,0,0.1,0.1,0.1,74.1,59.1,77.1,30.5,32.7,31.8,16.768,16.768,5.656
20060820,3,0.1,0.1,0.1,72.1,60.1,82.1,31.0,33.4,30.4,13.064,26.028,14.916
20060821,2,0.1,0.3,0.1,55.1,51.1,72.1,32.7,33.7,31.9,5.656,16.768,5.656
20060822,0,0.1,0.1,0.1,61.1,62.1,80.1,32.1,33.4,31.7,22.324,22.324,13.064
20060823,1,0.1,0.5,0.1,54.1,24.1,83.1,32.0,37.3,31.2,16.768,26.028,7.508
20060824,0,0.1,0.1,0.1,63.1,61.1,76.1,31.4,33.0,31.0,14.916,24.176,14.916
20060825,0,0.1,0.1,0.1,69.1,62.1,73.1,29.6,32.2,30.0,16.768,18.62,16.768
20060826,0,0.1,0.1,0.1,61.1,56.1,68.1,29.5,32.3,30.8,24.176,31.584,16.768
20060827,2,0.1,0.1,0.1,67.1,63.1,71.1,29.4,31.1,30.2,24.176,35.288,16.768
20060828,0,0.1,0.2,0.1,71.1,60.1,76.1,30.2,32.0,31.8,24.176,22.324,26.028
20060829,1,0.1,0.1,0.1,55.1,48.1,62.1,29.1,32.8,30.9,35.288,37.14,22.324
20060830,1,0.1,0.1,0.1,63.1,50.1,65.1,28.2,31.7,30.4,24.176,24.176,22.324
20060831,0,0.1,0.1,0.1,65.1,36.1,69.1,27.3,32.0,30.2,26.028,22.324,24.176
20060901,0,0.1,0.1,0.1,59.1,59.1,63.1,28.3,30.6,29.7,24.176,33.436,22.324
20060902,0,0.1,0.1,0.1,53.1,49.1,57.1,28.0,30.3,29.9,16.768,27.88,14.916
20060903,0,0.1,0.1,0.1,58.1,47.1,61.1,29.0,30.7,29.4,11.212,22.324,13.064
20060904,0,0.1,0.1,0.1,53.1,46.1,67.1,28.8,31.4,29.9,29.732,27.88,26.028
20060905,2,0.1,0.1,0.1,59.1,45.1,72.1,29.8,31.9,30.1,14.916,18.62,20.472
20060906,0,0.1,0.1,0.1,66.1,55.1,69.1,28.7,31.4,29.6,24.176,20.472,20.472
20060907,0,0.1,0.1,0.1,59.1,59.1,72.1,29.8,31.3,29.4,14.916,18.62,18.62
20060908,0,0.1,0.1,0.1,67.1,53.1,69.1,28.2,31.6,29.4,22.324,24.176,18.62
20060909,1,0.1,0.1,0.1,52.1,56.1,71.1,30.5,31.3,29.4,11.212,16.768,16.768
20060910,2,0.1,0.1,0.1,50.1,54.1,67.1,30.2,32.3,31.0,22.324,20.472,31.584
20060911,1,0.1,0.1,0.1,64.1,43.1,70.1,27.9,33.3,29.3,29.732,37.14,22.324
